"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"FUCA1" 0 0.782938028608314 0.355 0.109 0 "0" "FUCA1"
"FERMT3" 0 0.779230865120161 0.456 0.127 0 "0" "FERMT3"
"ARPC1B" 0 0.779029277958939 0.74 0.466 0 "0" "ARPC1B"
"RASSF4" 0 0.778720183607325 0.42 0.114 0 "0" "RASSF4"
"AKR1B1" 0 0.77850974833748 0.507 0.283 0 "0" "AKR1B1"
"AP2A2" 0 0.777077883879634 0.405 0.118 0 "0" "AP2A2"
"DSE" 0 0.777074857286948 0.372 0.1 0 "0" "DSE"
"SAMSN1" 0 0.774633870311825 0.463 0.089 0 "0" "SAMSN1"
"MAFF" 0 0.773434276208516 0.351 0.128 0 "0" "MAFF"
"OAZ1" 0 0.772827178123326 0.937 0.843 0 "0" "OAZ1"
"ADA2" 0 0.768116860647593 0.335 0.041 0 "0" "ADA2"
"CASP1" 0 0.762502955751862 0.409 0.084 0 "0" "CASP1"
"INSIG1" 0 0.760952682355411 0.35 0.182 0 "0" "INSIG1"
"AP1S2" 0 0.760751466742511 0.525 0.258 0 "0" "AP1S2"
"PLXND1" 0 0.758915785571389 0.431 0.137 0 "0" "PLXND1"
"NAIP" 0 0.758087857958754 0.34 0.047 0 "0" "NAIP"
"CD302" 0 0.757107316842374 0.372 0.084 0 "0" "CD302"
"ADAM9" 0 0.757050482844036 0.406 0.12 0 "0" "ADAM9"
"ID2" 0 0.756456289944427 0.693 0.483 0 "0" "ID2"
"M6PR" 0 0.755761859132695 0.505 0.222 0 "0" "M6PR"
"C6orf62" 0 0.75450563208935 0.505 0.242 0 "0" "C6orf62"
"SPINT2" 0 0.749404410546409 0.362 0.055 0 "0" "SPINT2"
"EMILIN2" 0 0.747908168665907 0.377 0.078 0 "0" "EMILIN2"
"PIK3AP1" 0 0.746321602309731 0.343 0.042 0 "0" "PIK3AP1"
"CLEC2B" 0 0.742707225215466 0.57 0.233 0 "0" "CLEC2B"
"DUSP6" 0 0.741926771114065 0.341 0.126 0 "0" "DUSP6"
"NCOA4" 0 0.736893339589253 0.456 0.194 0 "0" "NCOA4"
"TIMP2" 0 0.736652535666908 0.689 0.475 0 "0" "TIMP2"
"CD209" 0 0.732421955661753 0.251 0.015 0 "0" "CD209"
"TLR4" 0 0.729941417367002 0.325 0.032 0 "0" "TLR4"
"CYTH4" 0 0.727356960878855 0.356 0.078 0 "0" "CYTH4"
"CD84" 0 0.724981272547913 0.48 0.137 0 "0" "CD84"
"SLC2A3" 0 0.722609617019564 0.383 0.195 0 "0" "SLC2A3"
"PLEKHO2" 0 0.720933226927664 0.34 0.072 0 "0" "PLEKHO2"
"FCHO2" 0 0.719636443745427 0.348 0.073 0 "0" "FCHO2"
"CFD" 0 0.718678656664764 0.523 0.18 0 "0" "CFD"
"THEMIS2" 0 0.718616179805725 0.382 0.094 0 "0" "THEMIS2"
"PHLDA1" 0 0.713892703918236 0.369 0.227 0 "0" "PHLDA1"
"RNF149" 0 0.712625480300282 0.437 0.185 0 "0" "RNF149"
"GIMAP4" 0 0.711203221574144 0.409 0.098 0 "0" "GIMAP4"
"GAL3ST4" 0 0.710805428955574 0.289 0.031 0 "0" "GAL3ST4"
"LHFPL2" 0 0.710602327580832 0.325 0.072 0 "0" "LHFPL2"
"GAA" 0 0.708140807025498 0.431 0.156 0 "0" "GAA"
"GLIPR1" 0 0.707723188972725 0.545 0.259 0 "0" "GLIPR1"
"MCOLN1" 0 0.705320521857627 0.379 0.13 0 "0" "MCOLN1"
"COLEC12" 0 0.704010375342841 0.372 0.155 0 "0" "COLEC12"
"DOK2" 0 0.702866851865774 0.406 0.101 0 "0" "DOK2"
"CLTC" 0 0.699792811280837 0.5 0.278 0 "0" "CLTC"
"IQGAP1" 0 0.698872977907866 0.576 0.338 0 "0" "IQGAP1"
"RUNX1" 0 0.698680852562565 0.377 0.156 0 "0" "RUNX1"
"CELF2" 0 0.698634871815549 0.413 0.106 0 "0" "CELF2"
"IFNGR1" 0 0.698597978001575 0.438 0.195 0 "0" "IFNGR1"
"PLSCR1" 0 0.6974461207273 0.439 0.178 0 "0" "PLSCR1"
"TNFAIP8" 0 0.697177412778135 0.369 0.126 0 "0" "TNFAIP8"
"ME2" 0 0.696812808219578 0.377 0.13 0 "0" "ME2"
"EFHD2" 0 0.695463304485651 0.597 0.329 0 "0" "EFHD2"
"LAMP2" 0 0.695352426894312 0.55 0.318 0 "0" "LAMP2"
"SLC7A8" 0 0.694720967995173 0.301 0.045 0 "0" "SLC7A8"
"ARHGAP4" 0 0.693789412514314 0.372 0.09 0 "0" "ARHGAP4"
"IRF8" 0 0.692868070897241 0.313 0.033 0 "0" "IRF8"
"FPR1" 0 0.690825013489766 0.284 0.031 0 "0" "FPR1"
"UNC93B1" 0 0.689399058865953 0.429 0.175 0 "0" "UNC93B1"
